rainfall_mm,aqi,zone_risk,hours_per_week,vehicle_age_yrs,past_claims,gig_tenure_yrs,premium_tier
11.81,148.13,3,54.4,5.6,0,2.3,1
14.76,151.08,2,49.0,0.3,1,5.5,0
9.5,178.36,2,48.2,3.3,1,0.7,0
52.94,67.99,1,74.6,3.2,0,0.7,0
13.24,185.55,2,25.2,2.0,0,5.6,0
9.89,0.0,1,13.0,7.4,2,9.2,0
23.47,112.21,3,59.7,0.0,0,9.1,1
4.56,120.7,3,35.5,2.9,1,0.1,1
48.61,188.0,2,11.3,1.0,1,1.1,1
2.32,151.36,1,28.6,5.4,0,5.8,0
130.02,65.67,1,32.9,0.2,0,8.5,0
44.38,90.9,2,55.6,7.1,0,9.5,1
6.65,161.92,2,22.8,7.3,2,8.6,1
0.17,145.26,3,40.6,7.2,1,6.8,1
50.7,115.25,1,45.7,0.7,2,2.0,0
36.81,121.15,3,44.0,4.0,0,0.7,1
39.17,191.77,2,82.1,0.1,3,0.5,1
44.26,118.94,1,13.4,7.5,0,6.1,0
2.31,144.71,2,80.4,5.1,0,0.4,0
13.32,280.2,1,53.1,3.0,1,7.4,0
3.69,64.58,2,68.9,5.2,0,7.1,0
59.66,38.89,3,41.8,0.4,1,0.8,1
29.29,197.02,2,43.6,3.0,2,9.1,0
12.05,109.28,3,75.1,1.4,0,5.2,1
1.97,130.91,2,76.3,14.4,0,9.0,1
11.17,103.13,1,27.7,7.8,1,9.0,0
11.8,134.41,2,24.7,5.3,0,2.0,0
39.24,245.91,2,46.7,10.9,1,3.8,1
30.45,198.13,1,76.6,1.7,0,1.3,0
65.47,201.73,1,33.9,9.2,0,7.7,0
19.17,65.03,2,58.2,1.6,0,5.0,0
3.82,80.93,1,62.4,5.3,1,9.3,0
37.47,0.0,1,67.6,5.3,0,2.1,0
42.91,101.44,2,51.7,0.1,2,6.9,0
24.72,207.4,1,39.8,1.8,2,9.9,0
44.22,181.02,3,81.6,0.1,2,6.7,1
20.42,136.71,1,55.2,15.0,3,0.7,1
22.19,148.66,3,63.9,0.5,0,5.9,1
16.73,108.67,2,35.5,3.1,1,1.8,1
0.77,162.29,2,59.6,6.3,1,0.3,0
3.43,195.95,1,29.1,0.9,1,3.3,0
0.96,53.05,3,28.1,2.7,1,2.7,1
30.35,167.98,2,62.9,3.7,0,7.9,0
11.32,205.95,3,48.6,0.7,2,3.7,1
21.31,125.09,1,60.6,6.0,0,7.3,0
71.44,192.04,1,29.9,1.4,0,0.2,0
8.6,318.88,2,54.3,0.9,2,0.1,1
15.85,143.74,1,42.9,3.3,1,0.3,0
42.26,173.6,2,54.2,2.1,1,2.2,1
7.79,105.72,1,31.5,10.1,0,3.7,0
2.4,160.88,2,62.9,8.5,1,6.1,0
10.26,177.62,3,69.6,2.6,0,9.9,1
5.27,161.69,2,29.2,1.8,1,3.5,0
79.65,88.82,3,32.2,1.6,1,0.6,1
49.53,162.38,2,58.9,1.2,1,1.9,1
30.1,237.73,2,61.5,3.1,3,9.0,1
61.55,176.92,3,62.1,6.5,0,7.0,1
48.84,207.72,3,60.5,1.5,0,7.9,1
6.19,135.78,3,39.1,0.8,1,1.2,1
66.92,194.99,1,39.2,2.6,0,1.3,0
23.25,166.76,2,28.9,0.3,0,1.1,0
49.42,92.95,1,21.6,4.8,3,8.6,0
67.93,169.11,2,61.3,2.9,0,2.1,1
11.48,90.5,2,16.9,2.7,0,6.4,0
3.5,112.03,3,79.4,1.4,1,5.2,1
7.76,161.36,3,71.2,9.4,1,5.4,1
16.71,167.83,2,73.5,0.4,0,2.0,1
51.11,78.65,1,77.1,8.2,0,6.4,0
59.14,213.24,3,40.2,1.9,1,0.4,1
0.21,184.32,1,72.7,8.5,0,9.9,0
21.45,107.72,2,21.7,5.2,3,0.3,1
16.21,57.74,1,11.6,0.4,1,0.5,0
7.54,141.31,1,68.1,7.1,3,3.2,0
3.83,123.24,3,15.5,4.6,1,8.3,1
12.36,156.79,1,83.2,0.1,0,2.6,0
85.89,128.21,2,59.9,0.6,0,4.7,1
11.71,29.55,1,65.8,4.0,1,0.2,0
21.94,126.7,3,28.2,4.3,2,0.8,1
36.42,131.66,3,59.9,5.5,1,6.1,1
13.56,188.02,1,13.2,5.1,0,1.9,0
107.03,108.11,1,72.0,4.3,2,6.9,1
98.46,250.72,2,22.6,5.8,2,7.9,1
8.7,35.3,1,61.6,3.4,1,8.5,0
20.63,228.67,2,26.6,1.2,0,1.3,0
10.74,136.54,1,15.1,9.7,2,4.6,0
10.06,201.58,1,45.6,0.1,1,9.5,0
1.13,154.79,2,22.5,1.8,1,7.7,0
28.21,218.37,1,64.0,5.2,1,1.2,0
20.96,126.76,3,27.6,2.2,1,5.0,1
1.59,84.08,1,35.3,0.1,0,9.2,0
9.8,235.23,1,52.0,0.3,0,4.4,0
71.67,143.19,3,31.1,4.2,1,8.4,1
8.22,163.29,2,38.0,13.4,3,5.0,1
4.7,224.09,2,70.4,3.2,1,1.1,0
20.17,88.08,1,23.3,2.8,2,1.5,0
127.32,185.73,2,16.1,1.5,0,0.5,1
8.31,114.61,2,34.3,1.2,1,2.0,0
33.45,142.07,1,41.4,0.1,1,8.9,0
43.02,154.34,3,50.2,1.3,1,6.5,1
8.14,59.99,2,37.6,2.4,3,7.4,1
39.08,103.27,1,68.5,0.9,1,6.2,0
13.76,231.06,2,12.9,0.4,0,3.9,1
30.02,203.17,2,42.0,5.1,2,2.2,1
30.12,146.24,1,38.3,9.0,1,9.3,0
23.02,164.59,2,57.9,11.0,0,5.1,0
2.84,132.35,1,81.5,3.8,1,4.8,0
54.11,231.4,2,47.8,0.2,0,10.0,0
11.6,137.98,3,83.0,5.4,1,3.8,1
6.19,163.91,2,32.4,0.5,1,8.5,0
1.25,218.76,3,12.3,4.4,1,8.6,1
26.81,103.36,1,22.3,6.0,0,2.3,0
33.96,243.53,2,39.2,5.2,0,0.9,1
0.5,58.17,3,33.4,12.1,2,9.8,1
21.53,247.78,2,17.2,5.4,0,4.3,1
7.7,127.64,2,42.0,4.7,0,0.0,0
31.08,135.44,1,35.0,1.2,0,5.0,0
5.75,36.6,1,19.1,10.3,1,6.2,0
35.23,122.71,1,31.9,0.8,3,7.8,0
14.67,87.61,3,75.6,9.4,0,9.4,1
82.81,113.54,1,32.4,1.5,1,9.2,0
4.44,141.76,3,62.8,0.6,3,9.4,1
12.51,207.47,2,55.3,7.0,0,0.3,0
3.61,162.46,1,41.6,0.0,2,7.1,0
77.59,168.46,2,27.7,7.1,2,2.3,1
62.95,84.27,3,37.3,1.2,0,1.9,1
8.95,97.15,3,53.8,8.6,2,8.0,1
32.36,257.92,1,36.0,4.7,3,4.2,0
50.98,105.89,1,25.9,4.4,1,9.2,0
24.3,249.37,1,18.6,1.8,1,0.4,1
22.63,135.42,1,75.1,0.2,0,8.0,0
8.31,150.14,2,42.6,7.1,1,1.4,1
2.93,214.22,3,56.3,0.7,1,1.8,1
68.25,226.31,1,46.3,1.9,0,4.8,0
69.2,143.35,2,74.6,3.7,0,4.0,1
30.08,126.71,2,50.5,2.6,0,4.9,0
12.42,146.64,1,45.6,0.9,3,9.4,0
12.89,170.28,1,78.4,0.6,1,6.6,0
38.83,203.48,2,63.3,0.5,1,2.9,1
68.22,150.25,3,18.3,8.0,0,1.7,1
65.43,187.13,2,23.2,0.1,1,4.2,1
45.41,248.3,1,68.2,15.0,1,4.5,0
30.82,172.88,1,71.9,0.9,2,6.0,0
2.64,168.7,1,50.3,0.5,1,2.7,0
5.29,58.87,2,51.0,3.4,1,7.7,0
68.65,0.0,3,56.8,0.3,1,1.0,1
27.97,173.3,1,42.5,3.7,0,5.6,0
0.28,144.31,3,60.3,7.6,0,6.2,1
3.21,119.11,2,18.0,0.2,0,2.1,0
32.67,164.61,2,81.1,6.4,0,8.3,1
0.15,146.38,3,65.5,2.0,0,6.2,1
5.26,217.67,1,56.7,0.7,0,6.5,0
23.87,155.17,3,33.4,0.8,0,5.0,1
35.32,105.18,1,21.9,10.0,0,9.1,0
31.66,209.41,1,40.3,0.5,1,6.9,0
7.62,136.97,3,59.0,8.1,0,3.8,1
37.36,181.59,3,56.9,3.1,0,2.4,1
8.12,121.36,2,38.3,0.2,0,0.7,0
11.81,111.01,2,55.4,2.5,0,1.7,0
41.17,155.05,2,70.2,6.8,0,9.9,1
31.46,150.77,3,11.9,5.2,1,4.1,1
56.76,178.79,1,43.3,2.7,2,9.0,0
32.15,133.88,3,66.1,7.9,0,1.7,1
25.2,39.82,2,50.4,0.5,1,4.3,0
2.95,124.03,2,58.2,9.6,1,9.6,1
13.75,197.63,2,48.2,7.5,3,0.9,1
9.24,132.16,2,83.4,4.9,0,5.9,0
8.39,135.22,3,14.0,6.8,1,9.2,1
108.37,209.18,2,46.3,3.1,1,9.5,1
14.98,107.28,3,16.8,4.5,2,8.5,1
66.78,57.43,1,21.8,3.3,1,8.6,0
29.92,140.36,2,38.3,1.8,2,6.5,1
47.51,120.95,3,21.5,3.4,2,2.2,1
20.95,92.03,2,81.3,1.2,2,7.3,0
25.8,139.48,2,80.1,2.3,1,9.8,0
20.35,179.49,2,34.9,1.3,1,5.3,0
6.52,149.44,3,57.3,0.5,1,2.6,0
38.45,168.42,3,49.5,1.6,0,5.7,1
9.89,258.8,1,70.4,7.6,0,6.9,0
0.74,129.43,3,56.4,1.9,0,2.1,1
31.11,166.7,2,10.0,5.5,1,7.2,1
5.85,119.45,1,66.5,0.8,0,5.9,0
84.63,99.22,3,65.3,2.2,1,6.1,1
92.33,114.91,2,47.7,0.5,2,3.1,1
73.91,121.27,3,76.8,0.6,0,1.6,1
13.87,171.57,1,77.2,3.8,1,6.2,0
0.47,290.94,1,48.8,3.7,2,5.9,0
79.07,107.04,2,55.0,1.0,0,3.4,1
16.77,125.0,1,83.7,2.6,0,3.0,0
102.03,146.21,3,32.1,8.0,0,3.5,1
99.41,173.75,1,34.0,0.8,1,4.9,0
57.52,165.81,2,23.5,0.1,0,9.7,0
10.46,227.05,1,76.3,4.2,2,7.6,0
14.59,4.42,1,65.1,0.2,0,8.5,0
57.14,6.78,3,17.8,15.0,1,5.1,2
11.43,120.25,1,82.7,3.8,1,5.3,0
5.57,215.84,2,64.1,2.5,0,2.0,0
24.41,56.06,3,72.9,2.2,1,7.2,0
82.54,0.0,2,13.6,3.4,1,4.2,0
35.72,184.27,3,47.4,0.4,1,7.4,1
25.32,164.62,1,61.7,10.6,0,4.1,0
3.07,84.59,1,50.2,3.9,1,1.1,0
28.64,90.87,3,59.3,0.8,0,1.7,1
138.32,91.82,2,70.5,3.3,2,8.1,1
4.53,156.63,2,37.7,0.6,1,2.6,0
21.91,112.42,2,72.8,0.1,0,2.6,0
62.96,179.64,2,22.1,4.0,1,9.3,0
40.5,0.0,1,30.0,4.2,1,6.6,0
35.82,98.59,3,13.2,3.5,3,1.1,1
36.37,82.44,2,37.0,0.8,2,1.4,0
13.36,134.62,2,38.1,3.7,1,2.7,0
10.43,117.72,3,69.6,0.2,1,5.9,1
49.72,197.87,1,58.3,3.8,0,7.5,0
49.84,38.44,1,42.3,3.2,1,2.7,0
60.54,152.73,3,58.3,4.3,1,8.7,1
73.34,183.5,3,13.9,9.0,1,1.1,1
21.48,261.4,2,23.3,7.6,0,2.1,0
20.89,121.09,1,56.4,15.0,1,9.7,0
48.03,169.47,1,57.5,15.0,2,1.3,1
31.49,41.77,2,67.3,5.9,1,8.9,1
36.32,6.48,1,39.8,12.5,0,7.0,0
47.66,200.69,3,63.5,8.1,0,0.7,2
66.22,149.67,3,60.6,5.2,1,4.8,1
12.37,220.71,3,81.3,0.3,2,5.2,1
14.13,67.6,1,25.9,0.2,2,9.3,0
2.96,181.19,3,50.8,7.3,0,4.2,1
25.9,262.13,1,54.5,2.7,0,4.5,0
1.1,175.18,1,83.9,6.7,2,1.1,0
18.8,166.59,1,24.9,1.5,0,6.4,0
23.47,150.51,1,48.7,2.0,1,2.1,0
10.13,55.75,3,35.6,4.8,1,0.8,1
26.81,231.33,1,48.9,9.9,2,10.0,0
0.93,113.35,1,27.2,0.4,0,2.7,0
1.14,180.27,3,13.5,7.9,1,1.4,1
51.88,56.22,1,52.4,6.3,0,7.0,0
13.4,79.23,3,34.9,1.5,1,8.2,1
4.08,236.11,1,23.5,1.8,0,0.6,0
22.16,129.16,1,34.0,0.2,2,1.1,0
44.09,237.2,3,13.6,0.1,2,0.9,1
7.29,145.31,1,80.3,2.6,0,0.5,0
29.26,39.49,2,53.0,0.4,0,6.6,0
2.68,203.52,1,70.3,0.9,3,5.9,0
1.59,114.61,1,41.3,7.5,2,6.6,0
22.74,191.92,1,76.8,3.4,0,5.1,0
23.34,151.51,1,45.8,4.0,2,8.2,0
30.44,57.41,1,52.5,0.8,1,5.5,0
38.85,159.86,3,46.4,7.1,1,9.2,1
111.71,281.77,2,64.3,8.1,1,4.9,1
21.79,179.58,1,51.9,3.0,0,7.9,0
11.7,146.55,2,30.1,9.7,1,4.1,1
47.57,214.52,3,20.8,7.5,1,4.4,1
9.48,162.64,3,54.9,5.3,0,8.5,0
17.34,162.57,2,46.2,5.3,1,1.1,0
2.45,84.5,3,17.1,0.4,0,5.6,0
0.77,164.03,1,39.3,1.3,1,7.3,0
98.62,212.13,1,48.1,0.3,0,7.5,0
54.23,99.84,2,71.2,0.0,1,5.9,0
35.72,235.47,2,15.6,0.7,0,4.5,0
15.78,144.5,2,35.8,8.5,0,2.6,0
5.71,96.73,2,70.9,1.1,1,9.1,0
5.1,209.86,3,58.0,14.0,0,3.7,1
8.64,132.79,3,31.5,3.6,1,8.0,1
23.9,195.57,2,72.6,1.1,0,0.3,1
37.62,132.49,2,46.5,2.7,0,2.3,0
32.38,146.41,1,46.9,1.0,0,3.5,0
9.85,179.61,1,82.3,15.0,1,6.7,1
92.94,167.45,1,80.1,7.5,0,3.2,0
40.17,30.27,2,36.5,0.1,4,0.4,0
24.25,82.73,1,20.4,11.8,1,1.7,0
28.38,205.76,3,34.1,5.1,1,2.6,1
16.32,142.07,1,12.3,0.3,0,1.8,0
8.54,118.58,2,11.5,4.4,3,2.0,1
13.2,68.49,1,39.3,4.2,0,7.7,0
42.55,85.22,1,79.6,1.0,0,4.1,0
0.43,28.69,3,74.5,5.7,1,4.1,1
3.7,143.92,2,47.8,0.4,0,9.7,0
1.41,114.09,3,51.8,2.7,0,4.5,1
1.25,92.0,3,10.4,0.0,0,9.3,1
58.03,145.91,1,25.9,13.9,2,3.0,0
36.49,171.84,1,11.8,5.6,1,4.0,0
19.28,275.59,3,65.8,0.7,0,4.0,1
3.09,59.29,3,20.8,1.7,2,5.5,1
20.3,219.56,2,74.3,0.7,1,5.8,0
19.24,208.39,3,57.6,5.8,0,2.5,1
5.71,103.25,3,27.0,0.2,0,7.9,1
17.07,162.19,1,21.7,7.3,0,5.0,0
15.25,122.54,2,56.4,11.4,1,0.1,1
28.7,161.14,3,76.7,4.5,0,5.9,1
30.24,240.55,2,63.2,1.0,1,8.0,1
1.39,186.34,1,35.8,1.8,0,2.5,0
14.08,180.52,1,53.5,2.6,0,0.4,0
29.49,124.18,1,33.0,3.7,0,8.1,0
20.98,60.96,1,83.9,4.4,1,9.8,0
58.24,137.49,3,65.4,3.2,0,0.8,1
32.25,222.4,1,55.5,1.7,0,9.4,0
5.34,58.37,1,41.3,8.9,1,3.6,0
2.2,86.69,1,55.7,0.3,1,9.4,0
30.85,157.58,2,35.3,2.5,0,6.5,0
0.81,90.92,2,12.1,6.0,2,8.9,0
26.44,102.45,1,39.2,0.3,0,7.9,0
84.52,124.58,1,78.9,4.9,0,0.3,0
25.7,68.06,1,56.3,6.9,0,0.7,0
14.74,91.55,2,16.2,4.3,2,5.3,0
30.92,192.21,1,75.5,0.1,0,1.3,0
18.39,71.56,3,29.9,0.8,1,4.6,1
23.66,54.13,2,28.0,1.7,1,9.5,1
85.14,112.2,1,32.0,1.1,2,2.9,1
14.64,193.92,2,52.7,13.1,1,4.9,1
97.47,138.18,1,50.3,4.2,1,3.8,1
70.73,122.13,2,46.4,1.4,0,6.3,1
6.54,152.66,1,63.1,10.6,0,1.9,0
2.16,45.26,2,33.4,5.4,1,2.6,0
3.19,179.68,3,67.9,1.3,2,8.6,1
0.55,173.01,3,23.0,1.9,2,8.1,1
2.98,125.44,1,67.9,0.9,0,7.9,0
34.47,210.36,1,59.1,14.2,2,7.7,0
2.22,82.35,2,60.6,2.9,0,4.6,0
11.52,217.67,3,45.6,9.1,1,7.3,1
55.91,159.27,3,59.4,1.7,0,3.9,1
0.71,129.81,1,15.9,7.9,0,1.0,0
50.54,148.81,1,73.0,0.2,1,3.9,0
9.93,143.56,2,14.1,15.0,1,1.6,1
3.77,223.22,1,21.0,9.7,1,3.9,0
35.79,85.4,1,52.7,1.8,3,3.0,0
29.74,104.25,1,64.7,6.0,0,6.0,0
62.98,212.18,2,15.6,5.6,0,3.6,1
39.85,114.27,3,78.1,9.3,1,7.1,1
48.81,204.03,3,82.0,1.5,1,5.1,1
9.94,251.97,1,54.8,2.5,2,9.2,0
5.86,125.89,2,45.6,8.0,1,0.9,1
41.66,190.88,3,64.9,6.0,1,6.9,1
49.33,80.78,1,34.3,2.0,0,6.7,0
139.71,195.28,2,46.5,7.5,0,9.5,1
15.96,161.97,2,77.8,0.2,2,3.7,1
13.96,178.38,1,80.7,6.1,3,3.1,0
44.94,111.27,2,78.6,0.9,0,1.7,1
12.5,50.33,1,29.4,1.3,1,2.7,0
80.1,180.2,2,27.2,2.7,1,5.0,1
58.65,26.2,1,32.0,2.4,0,8.4,0
16.81,130.96,1,42.7,2.9,0,2.8,0
41.69,206.47,1,33.2,3.1,1,1.6,0
42.14,161.51,3,37.7,1.6,0,2.7,1
3.27,266.9,2,55.9,0.8,1,1.0,0
69.85,211.51,2,66.4,5.9,2,9.3,1
21.11,110.77,2,64.4,2.0,0,8.7,0
52.54,151.64,2,70.3,2.8,2,3.1,1
11.57,147.16,1,12.4,4.1,0,2.5,0
67.76,55.07,2,13.5,9.6,0,9.1,0
14.79,93.58,1,68.4,4.9,0,0.0,0
0.33,116.35,1,49.4,0.2,1,6.0,0
70.74,27.83,2,52.8,7.3,0,9.2,1
2.87,152.85,1,13.9,15.0,0,5.1,0
11.54,135.06,1,28.9,2.6,1,0.0,0
89.91,49.63,2,57.2,14.0,1,2.2,1
90.24,174.25,2,73.6,3.2,0,9.2,1
25.56,192.95,2,77.9,2.5,1,0.2,1
29.98,163.62,2,47.0,1.6,0,3.9,0
17.85,130.56,2,50.4,4.3,1,7.9,0
10.41,185.49,2,71.6,1.0,1,8.4,1
11.95,190.81,1,49.8,0.4,1,4.8,0
33.49,168.44,1,48.2,0.1,1,2.3,0
41.88,100.52,2,77.0,1.4,0,6.0,0
47.05,166.6,1,68.5,2.0,0,2.6,0
46.76,221.73,3,77.3,3.2,1,2.6,2
2.87,114.2,3,26.2,1.4,0,8.1,0
20.46,275.88,1,48.8,15.0,3,1.5,1
1.78,118.46,1,72.3,1.4,1,0.1,0
23.92,151.94,1,18.2,2.3,0,3.4,0
17.48,109.65,1,68.8,0.4,1,4.9,0
65.6,163.4,1,23.5,1.2,0,7.1,0
12.97,45.47,2,69.8,0.2,4,7.8,0
3.74,117.24,3,55.3,3.3,0,6.6,1
4.63,84.47,2,24.3,5.6,1,6.3,0
43.0,158.12,1,45.0,0.9,0,6.7,0
28.89,209.67,1,60.5,1.8,1,2.7,0
3.2,188.76,2,56.9,0.1,0,3.8,0
2.64,7.7,3,41.6,7.3,0,6.2,1
36.22,272.52,3,76.6,6.1,0,0.7,1
2.27,167.72,3,48.4,0.3,2,3.0,1
51.76,103.41,2,47.4,1.8,1,4.1,1
36.75,159.43,2,14.6,12.4,1,5.3,1
2.55,160.57,1,78.2,2.0,5,4.9,1
2.66,109.99,2,23.1,3.0,4,7.2,1
129.46,161.88,1,49.1,1.8,0,4.7,0
14.07,113.55,2,69.5,3.6,0,9.0,0
13.89,125.74,2,25.9,15.0,1,3.8,1
50.27,108.82,1,49.0,15.0,1,5.3,0
88.26,64.04,1,27.8,6.0,2,0.0,0
128.06,158.75,1,66.2,2.1,2,3.1,1
42.0,185.12,1,51.8,2.7,0,8.7,0
14.16,180.89,1,73.3,1.8,0,3.3,0
2.62,199.2,1,76.2,15.0,2,2.5,1
45.04,169.46,1,58.0,4.9,1,5.4,0
24.52,118.04,1,63.7,2.4,1,0.8,0
16.56,200.38,3,50.6,0.0,1,5.3,1
71.05,68.55,1,38.4,2.9,1,3.0,0
3.54,95.96,1,58.0,15.0,3,3.8,0
20.36,92.15,2,77.2,3.0,1,7.9,1
0.34,214.8,3,40.8,0.8,0,6.6,1
18.97,206.57,2,33.3,0.1,1,4.5,1
1.74,179.24,1,38.7,1.8,1,5.8,0
3.79,214.32,2,42.2,10.0,2,7.7,0
3.75,97.24,2,15.4,15.0,0,7.5,1
31.43,170.92,2,46.9,11.6,1,1.9,1
41.12,142.49,2,46.6,5.2,0,3.0,1
26.27,200.81,3,53.5,3.3,3,3.5,1
98.24,143.09,3,36.8,3.6,0,1.9,2
14.09,126.9,2,55.4,3.1,1,0.1,0
10.09,182.45,2,75.0,4.9,1,1.7,0
60.89,202.57,2,80.7,2.2,3,8.1,1
7.59,109.9,3,53.2,4.4,0,5.5,1
99.09,146.34,1,13.2,0.5,0,3.4,1
0.37,86.49,3,81.7,1.2,3,6.1,1
105.08,0.12,1,62.2,7.2,1,7.4,0
1.32,162.03,2,34.9,9.4,1,3.5,0
66.53,186.53,3,20.9,3.1,1,4.7,1
22.5,165.72,1,20.6,0.1,1,0.6,0
148.7,33.03,2,22.4,10.5,0,6.0,1
2.3,128.95,1,13.4,4.8,1,3.6,0
24.21,16.9,1,76.8,2.1,1,4.3,0
104.51,232.18,1,50.0,3.6,1,4.2,0
22.21,84.84,1,61.8,2.2,0,6.3,0
29.78,225.32,1,71.3,2.5,1,5.7,0
35.7,206.75,3,68.6,8.7,0,4.2,1
18.18,95.96,3,75.3,0.7,1,0.2,1
29.63,82.03,1,81.6,0.4,0,6.2,0
26.33,171.02,2,42.5,0.0,2,8.8,0
69.43,99.34,1,80.3,1.5,1,7.7,0
1.4,156.15,1,63.5,0.6,0,9.8,0
9.9,121.03,1,15.2,1.0,0,1.4,0
90.12,43.13,3,60.5,0.0,1,2.2,1
66.29,16.17,3,60.8,1.0,0,5.4,1
18.25,163.6,1,77.0,1.6,2,2.4,0
29.04,116.31,1,37.6,0.1,2,0.3,0
9.75,116.81,1,53.3,3.7,1,4.0,0
6.25,191.75,2,10.9,3.4,0,2.9,0
18.69,220.41,2,34.6,0.4,0,2.6,0
13.08,133.65,1,14.6,3.6,0,9.5,0
26.29,129.56,3,48.6,15.0,0,2.4,1
2.43,180.01,1,70.5,11.6,0,1.3,0
109.95,68.58,3,25.3,0.0,2,1.3,1
128.52,163.39,2,49.0,6.3,0,8.1,1
35.94,183.11,2,25.1,1.7,0,7.1,0
23.04,190.81,3,18.9,0.3,0,1.3,1
11.11,33.79,3,47.8,1.4,0,2.2,1
50.43,104.32,1,15.9,1.6,0,7.5,0
34.63,97.3,1,53.5,3.0,1,2.7,0
5.32,155.99,3,12.3,4.3,1,9.8,1
72.55,178.84,1,17.9,5.5,0,5.4,0
51.87,239.8,1,50.7,1.1,1,1.9,0
89.75,120.3,2,53.8,1.6,1,8.6,1
38.81,120.15,3,12.1,1.5,2,3.2,1
28.51,218.98,3,52.4,1.8,0,2.9,1
16.25,167.79,3,72.0,15.0,1,3.3,1
80.97,226.06,2,63.5,6.0,1,7.7,1
60.31,167.32,1,19.7,14.8,0,1.7,1
1.39,80.57,2,53.8,4.7,0,3.8,0
0.8,70.01,3,59.7,2.1,1,0.3,0
14.17,56.91,1,12.8,2.0,0,8.3,0
49.91,189.72,1,73.3,2.7,1,3.4,0
130.93,221.32,1,77.1,2.2,0,2.5,1
4.89,260.96,2,72.9,7.0,0,5.8,1
27.05,200.59,3,71.0,2.5,2,7.0,1
14.38,219.77,2,65.1,1.4,0,8.1,0
105.11,115.2,3,56.9,6.0,2,3.5,1
55.38,80.62,1,60.2,7.7,0,8.1,0
54.67,201.0,3,69.7,2.2,0,4.6,1
18.97,175.06,3,59.0,4.4,2,1.0,1
16.08,156.45,1,34.3,0.2,0,8.5,0
9.58,173.24,3,37.8,3.0,0,5.5,1
1.74,169.39,1,76.4,0.2,0,6.0,0
60.01,227.03,3,11.3,0.1,0,9.4,1
50.28,227.7,3,61.7,3.8,1,5.6,1
200.0,182.65,3,80.7,1.4,1,0.1,2
170.85,200.75,2,62.3,5.4,1,8.7,1
24.32,180.84,1,83.5,9.1,0,2.8,0
